contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
581,Dead Lead,Non-responsive,4.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$250k+,Bachelor's Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
582,2022 Spring - Lehi,Assigned Cohort,1.0,I do not own a laptop,Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,High School Diploma,,,White,2022-01-17 21:24:00,2022,White,1,0
583,2022 Spring - Ogden,Assigned Cohort,3.0,Laptop (Mac),Employed almost full-time (up to 35 hrs),<$15K,Married,<$15k,Associates Degree,,,White,2022-01-17 21:24:00,2022,White,1,0
584,2022 Spring - Ogden,Assigned Cohort,1.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Separated,$35k - $50k,High School Diploma,checked,,White,2022-01-17 21:24:00,2022,White,1,0
585,2022 Spring - Lehi,Assigned Cohort,3.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$75k - $100k,Some College No Degree,,,White,2022-01-17 21:24:00,2022,White,1,0
586,Dead Lead,Non-responsive,4.0,Laptop (PC),Employed part-time (under 20 hrs),<$15K,Single,<$15k,Associates Degree,,,Would prefer not to answer,2022-01-17 21:24:00,2022,Would prefer not to answer,1,0
587,2022 Spring - Ogden,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Married,$100k - $150k,Associates Degree,,checked,Black or African American,2022-01-17 21:24:00,2022,Black or African American,1,0
588,Dead Lead,Non-responsive,2.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$75k - $100k,Some College No Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
589,Dead Lead,Declined Attending,1.0,Laptop (Mac),Employed part-time (under 20 hrs),<$15K,Married,$75k - $100k,Some College No Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
590,2022 Spring - Ogden,Assigned Cohort,3.0,Laptop (Mac),"No, currently not employed outside the home",<$15K,Single,$15k - $25k,Associates Degree,,,White,2022-01-17 21:24:00,2022,White,1,0
591,Dead Lead,Declined Attending,1.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,,,American Indian or Alaska Native,2022-01-17 21:24:00,2022,American Indian or Alaska Native,1,0
592,Dead Lead,Non-responsive,1.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$15k - $25k,Associates Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
593,2022 Spring - Ogden,Assigned Cohort,4.0,Laptop (PC),"No, currently not employed outside the home",<$15K,Married,$25k - $35k,Bachelor's Degree,,,Asian,2022-01-17 21:24:00,2022,Asian,1,0
594,Dead Lead,Non-responsive,4.0,I do not own a laptop,"No, currently not employed outside the home",I do not currently work outside the home.,Married,$75k - $100k,Some College No Degree,,,Would prefer not to answer,2022-01-17 21:24:00,2022,Would prefer not to answer,1,0
595,Dead Lead,Non-responsive,2.0,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Divorced,$15k - $25k,Bachelor's Degree,,,Hispanic or Latina,2022-01-17 21:24:00,2022,Hispanic or Latina,1,0
596,2022 Spring - Lehi,Assigned Cohort,1.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Some College No Degree,,,White,2022-01-17 21:24:00,2022,White,1,0
597,Dead Lead,Declined Attending,2.0,Laptop (Mac),Employed full-time (35 hrs+),$35K-$50K,Separated,$35k - $50k,High School Diploma,,,,2022-01-17 21:24:00,2022,Other,1,0
598,2022 Spring - Ogden,Assigned Cohort,3.0,Laptop (PC),Employed full-time (35 hrs+),$15K-$25K,Married,<$15k,High School Diploma,,,"Hispanic or Latina,""Some other race, ethnicity, or origin""",2022-01-17 21:24:00,2022,Other,1,0
